Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
fandeg_P1,3.08E-07,7.11E-15,3.08E-07,7.11E-15,3.08E-07,7.11E-15,-0.000295122,,-0.000621039,0,-3.8135E-06,0
fabfof_P1_charged_H,3.37E-07,1.23E-14,3.37E-07,7.11E-15,3.37E-07,7.11E-15,-0.000217678,,-0.000458069,0,-0.000002813,0
ewobav_P1,3.06E-07,0,3.06E-07,1.00E-14,3.06E-07,0,-0.000223845,,-0.000471048,0,-2.8922E-06,0
eyopue_P1,3.37E-07,1.00E-14,3.37E-07,1.00E-14,3.37E-07,1.00E-14,-0.000222612,,-0.000468452,0,-2.8766E-06,0
eyoqal_P1,3.53E-07,1.00E-14,3.53E-07,0,3.53E-07,1.00E-14,-0.000177829,,-0.000374214,0,-2.2979E-06,0
famqes_P1,5.66E-07,2.01E-14,5.66E-07,0,5.66E-07,2.01E-14,-0.000157615,,-0.000331677,0,-2.0367E-06,0
fewsim_P1,3.19E-07,1.00E-14,3.19E-07,1.00E-14,3.19E-07,1.00E-14,-0.000114427,,-0.000240795,0,-1.4786E-06,0
fakmir_P1_H,8.40E-07,0,8.40E-07,2.01E-14,8.40E-07,2.01E-14,-0.000170438,,-0.00035866,0,-2.2023E-06,0
fayqih_P1,4.48E-07,1.42E-14,4.48E-07,1.42E-14,4.48E-07,0,-0.000295638,,-0.000622124,0,-3.8203E-06,0
eyakib_P1,3.17E-07,1.00E-14,3.17E-07,0,3.17E-07,1.00E-14,-0.000124328,,-0.00026163,0,-1.6074E-06,0
exewag_P1,3.78E-07,1.00E-14,3.78E-07,1.00E-14,3.78E-07,1.00E-14,-0.000365203,,-0.000768515,0,-0.000004719,0
feqsif_P1,4.59E-07,1.74E-14,4.59E-07,0,4.59E-07,1.00E-14,-0.000140224,,-0.000295081,0,-0.000001812,0
fibhef_P1,3.01E-07,7.11E-15,3.01E-07,7.11E-15,3.01E-07,7.11E-15,-0.000303236,,-0.000638115,0,-3.9182E-06,0
fexces_P1,3.64E-07,0,3.64E-07,0,3.64E-07,1.00E-14,-0.000288783,,-0.000607699,0,-3.7316E-06,0
fecxao_P1_H,3.95E-07,0,3.95E-07,1.00E-14,3.95E-07,1.42E-14,-0.000329989,,-0.00069441,0,-4.2642E-06,0
faptoh_P1,3.94E-07,0,3.94E-07,0,3.94E-07,1.00E-14,-0.000219332,,-0.000461551,0,-2.8342E-06,0
faltuk_P1,6.06E-07,2.01E-14,6.06E-07,1.42E-14,6.06E-07,1.42E-14,-0.000155733,,-0.000327716,0,-2.0124E-06,0
fazyis_P1,3.11E-07,0,3.11E-07,7.11E-15,3.11E-07,7.11E-15,-0.000327081,,-0.000688293,0,-4.2268E-06,0
fepgep_P1,4.28E-07,1.42E-14,4.28E-07,1.00E-14,4.28E-07,1.42E-14,-0.000249761,,-0.000525583,0,-3.2275E-06,0
fahhop_P1,3.85E-07,1.42E-14,3.85E-07,1.00E-14,3.85E-07,0,-0.000187764,,-0.000395121,0,-2.4262E-06,0
ezofef_P1,3.94E-07,0,3.94E-07,1.00E-14,3.94E-07,1.00E-14,-0.000405807,,-0.00085396,0,-5.2438E-06,0
fazgas_P1,3.21E-07,0,3.21E-07,7.11E-15,3.21E-07,7.11E-15,-0.00026971,,-0.000567564,0,-3.4854E-06,0
farbos_P1,3.41E-07,0,3.41E-07,0,3.41E-07,1.00E-14,-0.000217777,,-0.000458278,0,-2.8142E-06,0
ewovet_P1,5.53E-07,1.42E-14,5.53E-07,2.46E-14,5.53E-07,0,-0.000121385,,-0.000255437,0,-1.5688E-06,0
fefzez_P1_H,1.34E-07,0,1.34E-07,6.15E-15,1.34E-07,3.55E-15,-0.000296138,,-0.000623177,0,-3.8266E-06,0
fannug_P1_H,3.66E-07,1.00E-14,3.66E-07,1.00E-14,3.66E-07,1.00E-14,-0.000110053,,-0.000231589,0,-0.000001422,0
fahqiq_P1_charged,4.39E-07,1.42E-14,4.39E-07,1.00E-14,4.39E-07,1.00E-14,-0.000102941,,-0.000216624,0,-1.3299E-06,0
fahjeh_P1,7.87E-07,0,7.88E-07,2.01E-14,7.87E-07,3.48E-14,-0.000226843,,-0.000477357,0,-2.9313E-06,0
faxdam_P1,2.63E-07,7.11E-15,2.63E-07,7.11E-15,2.63E-07,7.11E-15,-0.000290647,,-0.000611622,0,-3.7562E-06,0
fancop_P1,3.10E-07,7.11E-15,3.10E-07,7.11E-15,3.10E-07,7.11E-15,-0.000298952,,-0.000629099,0,-0.000003863,0
fabgum_P1_charged,3.36E-07,0,3.36E-07,7.11E-15,3.36E-07,7.11E-15,-0.000281962,,-0.000593346,0,-3.6434E-06,0
exotob_P1_H,4.98E-07,1.42E-14,4.98E-07,1.42E-14,4.98E-07,1.42E-14,-9.76047E-05,,-0.000205395,0,-1.2613E-06,0
favfug_P1,3.86E-07,1.00E-14,3.86E-07,1.42E-14,3.86E-07,1.42E-14,-0.000262968,,-0.000553375,0,-3.3979E-06,0
fehhei_P1,5.02E-07,1.42E-14,5.02E-07,1.42E-14,5.02E-07,1.42E-14,-0.000177311,,-0.000373123,0,-2.2911E-06,0
eyocom_P1,3.12E-07,7.11E-15,3.12E-07,0,3.12E-07,7.11E-15,-0.00015632,,-0.000328952,0,-2.0203E-06,0
eyoqep_P1,3.51E-07,1.00E-14,3.51E-07,1.00E-14,3.51E-07,0,-0.000160466,,-0.000337675,0,-2.0737E-06,0
faklou_P1_charged,4.59E-07,1.42E-14,4.59E-07,1.42E-14,4.59E-07,1.42E-14,-0.000402368,,-0.000846721,0,-5.1993E-06,0
fahhef_P1,4.00E-07,0,4.00E-07,1.00E-14,4.00E-07,1.00E-14,-0.000238414,,-0.000501706,0,-3.0808E-06,0
fajlah_P1,2.84E-07,0,2.84E-07,0,2.84E-07,1.00E-14,-0.000170348,,-0.000358472,0,-2.2005E-06,0
fahpov_P1_H,8.41E-07,0,8.41E-07,2.84E-14,8.41E-07,0,-0.00024966,,-0.000525372,0,-0.000003226,0
fazgew_P1,2.90E-07,7.11E-15,2.90E-07,0,2.90E-07,0,-0.000298637,,-0.000628436,0,-0.000003859,0
ferwac_P1,2.84E-07,0,2.84E-07,1.00E-14,2.84E-07,0,-0.000415033,,-0.000873373,0,-0.000005363,0
fidluc_P1_charged_H,3.27E-07,7.11E-15,3.27E-07,7.11E-15,3.27E-07,0,-0.000257147,,-0.000541127,0,-3.3227E-06,0
faptib_P1,3.92E-07,1.00E-14,3.92E-07,0,3.92E-07,1.00E-14,-0.000220354,,-0.000463701,0,-2.8472E-06,0
fexjuq_P1,2.49E-07,7.11E-15,2.49E-07,0,2.49E-07,7.11E-15,-0.000309492,,-0.000651279,0,-3.9995E-06,0
falxun_P1,2.43E-07,7.11E-15,2.43E-07,0,2.43E-07,7.11E-15,-0.000270341,,-0.000568891,0,-3.4934E-06,0
fagfuq_P1_H,4.78E-07,1.42E-14,4.78E-07,1.42E-14,4.78E-07,1.42E-14,-0.000344605,,-0.000725168,0,-0.000004453,0
febxiv_P1_H,1.32E-06,4.02E-14,1.32E-06,2.84E-14,1.32E-06,4.92E-14,-0.000177479,,-0.000373477,0,-2.2933E-06,0
exeqii_P1,3.96E-07,0,3.96E-07,1.00E-14,3.96E-07,0,-0.000327085,,-0.0006883,0,-4.2265E-06,0
exaxae_P1_H,2.85E-07,0,2.85E-07,0,2.85E-07,0,-0.000155986,,-0.00032825,0,-2.0156E-06,0
eziluv_P1,4.30E-07,0,4.30E-07,1.42E-14,4.30E-07,1.00E-14,-9.11708E-05,,-0.000191855,0,-0.000001178,0
fayqon_P1,4.28E-07,1.42E-14,4.28E-07,1.00E-14,4.28E-07,1.00E-14,-0.000295283,,-0.000621379,0,-3.8157E-06,0
fexkax_P1,2.45E-07,7.11E-15,2.45E-07,0,2.45E-07,0,-0.00031357,,-0.000659859,0,-4.0519E-06,0
fepgal_P1,4.95E-07,1.42E-14,4.95E-07,1.42E-14,4.95E-07,1.42E-14,-0.000241895,,-0.000509031,0,-3.1259E-06,0
faxsoq_P1,3.00E-07,7.11E-15,3.00E-07,1.00E-14,3.00E-07,0,-0.000146984,,-0.000309306,0,-1.8996E-06,0
eyacox_P1,3.76E-07,1.00E-14,3.76E-07,0,3.76E-07,1.00E-14,-0.000159683,,-0.000336029,0,-2.0634E-06,0
fazgia_P1,2.88E-07,7.11E-15,2.88E-07,0,2.88E-07,7.11E-15,-0.00030119,,-0.000633809,0,-3.8923E-06,0
fakxoi_P1_H,2.78E-07,0,2.78E-07,7.11E-15,2.78E-07,7.11E-15,-0.000264772,,-0.000557173,0,-3.4212E-06,0
fidfeg_P1,3.30E-07,7.11E-15,3.30E-07,0,3.30E-07,0,-0.000419282,,-0.000882316,0,-5.4177E-06,0
ezinei_P1,2.31E-07,7.11E-15,2.31E-07,7.11E-15,2.31E-07,5.02E-15,-0.000309091,,-0.000650435,0,-3.9941E-06,0
fecxoc_P1_charged_H,4.94E-07,0,4.94E-07,1.42E-14,4.94E-07,0,-0.000144993,,-0.000305116,0,-1.8736E-06,0
fehcom_P1,4.23E-07,0,4.23E-07,1.42E-14,4.23E-07,1.00E-14,-0.000122551,,-0.000257889,0,-1.5838E-06,0
fegniq_P1_charged_H,3.50E-07,0,3.50E-07,0,3.50E-07,1.42E-14,-0.000352132,,-0.000741008,0,-4.5502E-06,0
ezimac_P1,4.30E-07,1.00E-14,4.30E-07,1.00E-14,4.30E-07,1.00E-14,-0.00009124,,-0.000192001,0,-1.1788E-06,0
eyojot_P1,4.72E-07,1.42E-14,4.72E-07,1.00E-14,4.72E-07,1.42E-14,-0.000187875,,-0.000395353,0,-2.4278E-06,0
lagcuu_P1,2.71E-07,0,2.71E-07,7.11E-15,2.71E-07,7.11E-15,-0.000203843,,-0.000428957,0,-2.6339E-06,0
larrop_P1,3.96E-07,1.00E-14,3.96E-07,1.00E-14,3.96E-07,0,-0.000180742,,-0.000380343,0,-2.3355E-06,0
laspom_P1,2.95E-07,0,2.95E-07,0,2.95E-07,0,-0.000220922,,-0.000464896,0,-2.8542E-06,0
lajlit_P1_charged_H,3.98E-07,0,3.98E-07,1.42E-14,3.98E-07,1.00E-14,-0.000170209,,-0.000358179,0,-2.1994E-06,0
kukmua_P1_H,2.88E-07,1.00E-14,2.88E-07,7.11E-15,2.88E-07,1.00E-14,-0.000219522,,-0.00046195,0,-2.8368E-06,0
lasdeq_P1_H,4.64E-07,1.74E-14,4.64E-07,1.42E-14,4.64E-07,0,-7.31035E-05,,-0.000153835,0,-9.446E-07,0
lacnub_P1,4.50E-07,1.00E-14,4.50E-07,1.42E-14,4.50E-07,1.00E-14,-0.00017797,,-0.000374511,0,-0.0000023,0
kozqex_P1_H,8.91E-07,2.01E-14,8.91E-07,2.01E-14,8.91E-07,2.01E-14,-0.000352966,,-0.000742763,0,-0.000004561,0
lavtej_P1_H,2.43E-07,0,2.43E-07,7.11E-15,2.43E-07,0,-0.000274585,,-0.000577821,0,-3.5481E-06,0
kutcuz_P1_H,3.53E-07,1.00E-14,3.53E-07,1.00E-14,3.53E-07,0,-0.000215665,,-0.000453834,0,-2.7866E-06,0
kutnuk_P1,6.32E-07,1.42E-14,6.32E-07,2.46E-14,6.32E-07,0,-0.00012038,,-0.000253321,0,-1.5556E-06,0
kotbih_P1,5.34E-07,0,5.34E-07,0,5.34E-07,1.42E-14,-0.000158477,,-0.00033349,0,-2.0481E-06,0
kuwcem_P1,5.36E-07,1.42E-14,5.36E-07,1.42E-14,5.36E-07,1.42E-14,-0.000315811,,-0.000664576,0,-4.0809E-06,0
labzum_P1,3.35E-07,7.11E-15,3.35E-07,0,3.35E-07,7.11E-15,-0.000177516,,-0.000373555,0,-2.2936E-06,0
larvim_P1_H,3.60E-07,1.00E-14,3.60E-07,1.00E-14,3.60E-07,0,-0.000282028,,-0.000593484,0,-3.6443E-06,0
lajniw_P1_H,4.14E-07,1.00E-14,4.14E-07,1.00E-14,4.13E-07,0,-0.000247452,,-0.000520724,0,-3.1971E-06,0
kunsuj_P1_H,6.18E-07,2.01E-14,6.18E-07,1.42E-14,6.18E-07,1.42E-14,-0.000126518,,-0.000266238,0,-1.6348E-06,0
latfui_P1,6.77E-07,0,6.78E-07,2.01E-14,6.77E-07,2.01E-14,-0.000444754,,-0.000935917,0,-0.000005747,0
labzia_P1,4.15E-07,1.00E-14,4.15E-07,1.00E-14,4.15E-07,1.74E-14,-0.000175073,,-0.000368415,0,-2.2622E-06,0
labzew_P1,4.30E-07,1.00E-14,4.30E-07,0,4.30E-07,0,-0.000174917,,-0.000368086,0,-2.2602E-06,0
lacyun_P1_charged,3.86E-07,1.42E-14,3.86E-07,0,3.86E-07,1.42E-14,-0.00020192,,-0.000424909,0,-2.6092E-06,0
laqxou_P1_H,3.50E-07,0,3.50E-07,0,3.50E-07,0,-0.000385964,,-0.000812202,0,-4.9874E-06,0
kudwaj_P1,4.43E-07,1.00E-14,4.43E-07,1.00E-14,4.43E-07,0,-0.000101925,,-0.000214485,0,-1.3172E-06,0
kujdeb_P1,3.32E-07,1.00E-14,3.32E-07,7.11E-15,3.32E-07,7.11E-15,-0.000160749,,-0.000338271,0,-2.0769E-06,0
larrij_P1,3.87E-07,0,3.87E-07,1.00E-14,3.87E-07,1.00E-14,-0.000185028,,-0.000389362,0,-2.3911E-06,0
kunsap_P1_charged,3.82E-07,0,3.82E-07,1.00E-14,3.82E-07,1.00E-14,-0.000203532,,-0.000428303,0,-2.6301E-06,0
lasrij_P1_charged,4.80E-07,1.42E-14,4.80E-07,0,4.80E-07,1.42E-14,-0.000165848,,-0.000349002,0,-2.1431E-06,0
kufbeu_P1_H,1.73E-07,5.02E-15,1.73E-07,0,1.73E-07,5.02E-15,-0.00032282,,-0.000679325,0,-4.1712E-06,0
kujnot_P1_H,3.72E-07,1.00E-14,3.72E-07,1.00E-14,3.71E-07,1.00E-14,-0.000223005,,-0.000469279,0,-2.8816E-06,0
lahyol_P1_H,2.67E-07,1.00E-14,2.67E-07,1.00E-14,2.67E-07,0,-0.000239776,,-0.000504572,0,-3.0979E-06,0
lagvex_P1,3.37E-07,0,3.38E-07,1.00E-14,3.37E-07,1.00E-14,-0.000254366,,-0.000535276,0,-3.2869E-06,0
kutdag_P1_charged_H,3.29E-07,7.11E-15,3.29E-07,7.11E-15,3.29E-07,1.00E-14,-0.000219523,,-0.000461953,0,-2.8368E-06,0
kotlox_P1_H,3.57E-07,1.00E-14,3.57E-07,1.00E-14,3.57E-07,1.00E-14,-0.000149594,,-0.000314797,0,-0.000001933,0
lajkue_P1_charged_H,3.70E-07,1.42E-14,3.70E-07,0,3.70E-07,1.00E-14,-0.000259508,,-0.000546094,0,-3.3533E-06,0
labrue_P1_charged_H,3.54E-07,0,3.54E-07,1.00E-14,3.54E-07,1.00E-14,-0.000236923,,-0.000498569,0,-0.000003061,0
lawfex_P1,3.84E-07,1.00E-14,3.84E-07,0,3.84E-07,1.00E-14,-0.000190354,,-0.000400572,0,-2.4593E-06,0
kuygoc_P1_H,4.51E-07,1.42E-14,4.51E-07,1.74E-14,4.51E-07,0,-0.00025204,,-0.000530379,0,-3.2571E-06,0
larqee_P1,3.54E-07,1.00E-14,3.54E-07,1.00E-14,3.54E-07,0,-0.000248448,,-0.00052282,0,-3.2101E-06,0
kunquh_P1,3.18E-07,7.11E-15,3.18E-07,7.11E-15,3.18E-07,7.11E-15,-0.000379179,,-0.000797924,0,-4.8997E-06,0
lasgiz_P1_charged_H,3.98E-07,1.00E-14,3.98E-07,1.42E-14,3.98E-07,2.01E-14,-0.000434231,,-0.000913773,0,-5.6111E-06,0
kucdiw_P1,4.90E-07,1.42E-14,4.90E-07,1.42E-14,4.90E-07,1.42E-14,-0.000395852,,-0.00083301,0,-5.1151E-06,0
lajlep_P1_charged_H,4.01E-07,1.00E-14,4.01E-07,1.00E-14,4.01E-07,1.42E-14,-0.000254258,,-0.000535047,0,-3.2856E-06,0
labzog_P1,3.49E-07,1.00E-14,3.49E-07,1.42E-14,3.49E-07,0,-0.000180258,,-0.000379324,0,-2.3294E-06,0
laplog01_P1_charged,3.21E-07,0,3.21E-07,7.11E-15,3.21E-07,7.11E-15,-0.000295754,,-0.000622369,0,-3.8218E-06,0
lacjil_P1,3.25E-07,0,3.26E-07,7.11E-15,3.25E-07,1.00E-14,-0.00019308,,-0.000406308,0,-2.4953E-06,0
koxsic_P1_charged_H,3.30E-07,0,3.30E-07,7.11E-15,3.30E-07,7.11E-15,-0.000295545,,-0.000621929,0,-0.000003819,0
lawgew_P1,6.82E-07,0,6.82E-07,0,6.82E-07,2.01E-14,-0.000441562,,-0.0009292,0,-5.7058E-06,0
lajlal_P1_charged_H,4.15E-07,1.00E-14,4.15E-07,0,4.15E-07,1.00E-14,-0.000256058,,-0.000538835,0,-3.3089E-06,0
lavtaf_P1_H,2.46E-07,7.11E-15,2.46E-07,0,2.46E-07,7.11E-15,-0.000273864,,-0.000576305,0,-3.5386E-06,0
latfoc_P1,6.78E-07,2.01E-14,6.78E-07,0,6.77E-07,2.84E-14,-0.000444702,,-0.000935808,0,-5.7464E-06,0
kuftai_P1,4.11E-07,1.00E-14,4.11E-07,1.42E-14,4.11E-07,1.42E-14,-0.00030056,,-0.000632483,0,-3.8839E-06,0
lawhoj_P1,2.57E-07,7.11E-15,2.57E-07,0,2.57E-07,0,-0.000147443,,-0.000310272,0,-0.000001905,0
lavtot_P1_H,2.37E-07,8.70E-15,2.37E-07,8.70E-15,2.37E-07,5.02E-15,-0.000278156,,-0.000585336,0,-3.5941E-06,0
lavzug_P1_charged_H,1.89E-07,5.02E-15,1.89E-07,0,1.89E-07,5.02E-15,-0.000348138,,-0.000732602,0,-4.4986E-06,0
kujnuz_P1_H,3.64E-07,0,3.64E-07,1.00E-14,3.64E-07,1.00E-14,-0.000223005,,-0.000469279,0,-2.8816E-06,0
lagcut_P1_charged,3.51E-07,0,3.51E-07,0,3.51E-07,1.00E-14,-0.000273109,,-0.000574716,0,-3.5289E-06,0
kutnoe_P1,6.35E-07,1.42E-14,6.35E-07,1.42E-14,6.35E-07,2.46E-14,-0.000238575,,-0.000502045,0,-3.0828E-06,0
lacjor_P1,2.94E-07,0,2.94E-07,1.00E-14,2.94E-07,1.00E-14,-0.000202423,,-0.000425969,0,-2.6159E-06,0
kuyjas_P1_charged_H,2.85E-07,1.00E-14,2.85E-07,1.00E-14,2.85E-07,7.11E-15,-0.000188746,,-0.000397187,0,-0.000002439,0
kubxow_P1,3.39E-07,1.00E-14,3.40E-07,1.42E-14,3.39E-07,0,-0.000270737,,-0.000569723,0,-3.4981E-06,0
kutpas_P1,5.49E-07,2.01E-14,5.49E-07,0,5.49E-07,1.42E-14,-0.000153322,,-0.000322643,0,-1.9812E-06,0
laqzov_P1,3.39E-07,0,3.39E-07,1.00E-14,3.39E-07,1.00E-14,-0.000389482,,-0.000819606,0,-5.0329E-06,0
ejoqur_P1_H,4.04E-07,1.00E-14,4.04E-07,1.00E-14,4.04E-07,1.00E-14,-0.000130717,,-0.000275073,0,-1.6891E-06,0
erobiz_P1_H,6.26E-07,1.42E-14,6.27E-07,1.42E-14,6.26E-07,2.01E-14,-0.000171306,,-0.000360486,0,-2.2135E-06,0
emituq_P1,4.14E-07,1.42E-14,4.14E-07,1.00E-14,4.14E-07,0,-0.000157021,,-0.000330426,0,-2.0291E-06,0
ekofoc_P1,3.54E-07,0,3.54E-07,0,3.53E-07,0,-0.0003507,,-0.000737994,0,-4.5315E-06,0
ejipul_P1_charged_H,3.40E-07,1.00E-14,3.40E-07,1.42E-14,3.40E-07,0,-0.00046184,,-0.000971872,0,-5.9677E-06,0
etovob_P1,4.50E-07,1.00E-14,4.50E-07,1.00E-14,4.50E-07,1.42E-14,-0.000407194,,-0.000856878,0,-5.2617E-06,0
ehiwie_P1_charged,6.26E-07,1.42E-14,6.26E-07,2.01E-14,6.26E-07,0,-0.000273013,,-0.000574513,0,-3.5278E-06,0
etikaw_P1_H,3.98E-07,1.00E-14,3.98E-07,1.00E-14,3.98E-07,1.42E-14,-0.000182349,,-0.000383725,0,-2.3565E-06,0
ehesob_P1,1.73E-07,5.02E-15,1.73E-07,0,1.73E-07,5.02E-15,-0.000251962,,-0.000530214,0,-3.2559E-06,0
eramer_P1_H,5.51E-07,1.42E-14,5.51E-07,1.42E-14,5.51E-07,1.42E-14,-0.000423649,,-0.000891505,0,-5.4743E-06,0
elijoz_P1_H,2.52E-07,7.11E-15,2.52E-07,0,2.52E-07,0,-0.000287237,,-0.000604445,0,-3.7114E-06,0
equnip_P1_charged_H,4.43E-07,1.42E-14,4.43E-07,0,4.43E-07,1.42E-14,-0.000106727,,-0.00022459,0,-1.3791E-06,0
elikeq_P1_H,2.47E-07,1.00E-14,2.47E-07,7.11E-15,2.47E-07,7.11E-15,-0.000290205,,-0.000610692,0,-3.7503E-06,0
ehijah_P1,1.05E-06,0,1.05E-06,0,1.05E-06,0,-0.000116297,,-0.000244729,0,-1.5028E-06,0
elubof_P1_charged,3.12E-07,1.00E-14,3.12E-07,1.00E-14,3.12E-07,7.11E-15,-0.000332275,,-0.00069922,0,-4.2935E-06,0
elohoe_P1,3.44E-07,0,3.44E-07,1.00E-14,3.44E-07,1.42E-14,-0.000130894,,-0.000275445,0,-1.6916E-06,0
ekolau_P1_H,5.11E-07,0,5.11E-07,2.01E-14,5.11E-07,0,-0.000528025,,-0.001111148,0,-6.8231E-06,0
ekokun_P1_H,5.14E-07,0,5.14E-07,0,5.14E-07,1.42E-14,-0.000523548,,-0.001101728,0,-6.7653E-06,0
erociz_P1_charged,7.87E-07,0,7.87E-07,2.84E-14,7.87E-07,2.01E-14,-0.00013288,,-0.000279625,0,-1.7171E-06,0
etetab_P1_charged_H,2.83E-07,7.11E-15,2.83E-07,0,2.83E-07,7.11E-15,-0.000276804,,-0.000582492,0,-0.000003577,0
enatuj_P1_charged,4.66E-07,1.00E-14,4.66E-07,1.00E-14,4.66E-07,1.00E-14,-0.000119959,,-0.000252435,0,-0.00000155,0
episom_P1_H,5.66E-07,0,5.66E-07,1.42E-14,5.66E-07,1.42E-14,-0.000159169,,-0.000334946,0,-2.0567E-06,0
ehafol_P1_charged,7.80E-07,0,7.81E-07,2.01E-14,7.80E-07,0,-0.000362584,,-0.000763003,0,-4.6852E-06,0
eqetax_P1,3.83E-07,1.42E-14,3.83E-07,0,3.83E-07,1.00E-14,-0.000188813,,-0.000397329,0,-2.4396E-06,0
eqoxit_P1_H,3.24E-07,1.00E-14,3.24E-07,0,3.24E-07,1.23E-14,-0.000195666,,-0.000411749,0,-2.5281E-06,0
etikie_P1_H,3.99E-07,0,3.99E-07,1.00E-14,3.99E-07,1.00E-14,-0.000181649,,-0.000382252,0,-2.3473E-06,0
eleriy_P1_H,5.13E-07,2.01E-14,5.13E-07,2.01E-14,5.13E-07,1.42E-14,-0.000253526,,-0.000533506,0,-0.000003276,0
eliliv_P1_H,2.28E-07,0,2.28E-07,7.11E-15,2.28E-07,5.02E-15,-0.000298833,,-0.00062885,0,-3.8614E-06,0
elutir_P1_H,4.56E-07,1.42E-14,4.56E-07,0,4.56E-07,1.00E-14,-0.000205163,,-0.000431733,0,-0.000002651,0
etikok_P1_charged,2.49E-07,1.00E-14,2.49E-07,7.11E-15,2.49E-07,7.11E-15,-0.000211271,,-0.000444588,0,-2.7301E-06,0
ehefab_P1,3.15E-07,0,3.15E-07,0,3.14E-07,1.00E-14,-0.000141474,,-0.000297711,0,-1.8281E-06,0
eqociw_P1,3.43E-07,1.00E-14,3.43E-07,0,3.43E-07,1.00E-14,-0.000291729,,-0.000613898,0,-3.7698E-06,0
emahei_P1,3.53E-07,1.00E-14,3.53E-07,1.42E-14,3.53E-07,0,-0.000236063,,-0.000496757,0,-3.0503E-06,0
equmua_P1_charged,6.04E-07,0,6.04E-07,1.42E-14,6.04E-07,1.42E-14,-0.000183577,,-0.000386311,0,-2.3721E-06,0
ekulaa_P1,3.17E-07,1.00E-14,3.17E-07,1.23E-14,3.17E-07,1.23E-14,-0.000387638,,-0.000815725,0,-5.0089E-06,0
equnah_P1_charged,5.93E-07,0,5.93E-07,0,5.93E-07,0,-0.000280387,,-0.000590032,0,-3.6231E-06,0
emituq01_P1,4.04E-07,1.00E-14,4.04E-07,0,4.04E-07,1.00E-14,-0.000160858,,-0.000338501,0,-2.0785E-06,0
ekomey_P1,3.16E-07,7.11E-15,3.16E-07,7.11E-15,3.16E-07,0,-0.000237153,,-0.000499053,0,-3.0642E-06,0
ekamub_P1,4.58E-07,1.00E-14,4.58E-07,1.42E-14,4.58E-07,1.00E-14,-0.00010148,,-0.00021355,0,-1.3119E-06,0
elikoa_P1_H,2.40E-07,7.11E-15,2.40E-07,0,2.40E-07,0,-0.000293953,,-0.000618578,0,-3.7982E-06,0
esusoc01_P1,2.79E-07,1.00E-14,2.79E-07,0,2.79E-07,1.00E-14,-0.000217732,,-0.000458184,0,-2.8134E-06,0
esutet01_P1,2.59E-07,1.00E-14,2.59E-07,7.11E-15,2.59E-07,7.11E-15,-0.000186483,,-0.000392425,0,-2.4096E-06,0
enafab_P1_H,1.50E-07,0,1.50E-07,3.55E-15,1.50E-07,5.02E-15,-0.000295594,,-0.000622031,0,-3.8197E-06,0
esafiq_P1_charged_H,3.44E-07,1.00E-14,3.44E-07,0,3.44E-07,1.00E-14,-0.000240505,,-0.000506107,0,-3.1079E-06,0
eliler_P1_H,2.29E-07,8.70E-15,2.29E-07,7.11E-15,2.29E-07,5.02E-15,-0.000298707,,-0.000628584,0,-0.00000386,0
ehiwok_P1_charged,1.17E-06,2.84E-14,1.17E-06,0,1.17E-06,4.02E-14,-0.000109045,,-0.000229468,0,-1.4091E-06,0
equyoh_P1_H,4.71E-07,0,4.71E-07,1.74E-14,4.71E-07,1.00E-14,-0.000180821,,-0.000380511,0,-2.3366E-06,0
ejaxiw_P1,4.00E-07,0,4.00E-07,0,4.00E-07,0,-0.000156925,,-0.000330225,0,-2.0282E-06,0
elikug_P1_H,2.37E-07,7.11E-15,2.37E-07,5.02E-15,2.37E-07,0,-0.000294577,,-0.000619891,0,-0.000003806,0
esedaj_P1,3.26E-07,0,3.26E-07,0,3.26E-07,1.00E-14,-0.00025964,,-0.000546372,0,-0.000003355,0
elenob_P1,4.16E-07,0,4.16E-07,1.42E-14,4.16E-07,0,-0.000170522,,-0.000358836,0,-2.2036E-06,0
epotaf_P1_H,6.69E-07,1.42E-14,6.69E-07,1.42E-14,6.69E-07,2.01E-14,-0.000297906,,-0.000626897,0,-3.8495E-06,0
esusoc02_P1,2.78E-07,7.11E-15,2.78E-07,1.00E-14,2.78E-07,0,-0.00021845,,-0.000459694,0,-2.8227E-06,0
enitax_P1_H,6.71E-07,1.42E-14,6.71E-07,2.01E-14,6.71E-07,1.42E-14,-0.000518024,,-0.001090103,0,-6.6939E-06,0
eneqas_P1,3.35E-07,0,3.35E-07,1.00E-14,3.35E-07,1.00E-14,-0.000171662,,-0.000361236,0,-2.2185E-06,0
elubiz_P1_charged,2.98E-07,7.11E-15,2.98E-07,0,2.98E-07,0,-0.000323792,,-0.00068137,0,-4.1842E-06,0
emihis_P1_charged,2.72E-07,0,2.72E-07,7.11E-15,2.72E-07,0,-0.000238395,,-0.000501665,0,-3.0805E-06,0
epuvap_P1,3.70E-07,0,3.71E-07,1.00E-14,3.70E-07,1.00E-14,-0.000315496,,-0.000663913,0,-0.000004077,0
erojus06_P1,2.74E-07,7.11E-15,2.74E-07,7.11E-15,2.73E-07,7.11E-15,-0.000414963,,-0.000873227,0,-5.3622E-06,0
